DATE,CSUSHPINSA
2000-01-01,104.7760833333333350
2001-01-01,113.1843333333333358
2002-01-01,122.2868333333333342
2003-01-01,133.7407500000000008
2004-01-01,150.4633333333333367
2005-01-01,171.7790833333333333
2006-01-01,183.4821666666666675
2007-01-01,179.9442499999999983
2008-01-01,164.0624999999999967
2009-01-01,148.5511666666666667
2010-01-01,144.6620833333333333
2011-01-01,139.2401666666666650
2012-01-01,140.9880833333333333
2013-01-01,154.5255833333333317
2014-01-01,164.6903333333333333
2015-01-01,172.1909166666666667
2016-01-01,180.9450833333333292
2017-01-01,191.4391666666666683
2018-01-01,202.5268333333333383
2019-01-01,209.5373333333333367
2020-01-01,222.1799166666666667
