DATE,FEDFUNDS
2000-01-01,6.2358333333333333
2001-01-01,3.8875000000000000
2002-01-01,1.6666666666666667
2003-01-01,1.1275000000000000
2004-01-01,1.3491666666666667
2005-01-01,3.2133333333333333
2006-01-01,4.9641666666666667
2007-01-01,5.0191666666666667
2008-01-01,1.9275000000000000
2009-01-01,0.16000000000000000000
2010-01-01,0.17500000000000000000
2011-01-01,0.10166666666666666667
2012-01-01,0.14000000000000000000
2013-01-01,0.10750000000000000000
2014-01-01,0.08916666666666666667
2015-01-01,0.13250000000000000000
2016-01-01,0.39500000000000000000
2017-01-01,1.00166666666666666667
2018-01-01,1.8316666666666667
2019-01-01,2.1583333333333333
2020-01-01,0.37583333333333333333
